dv,cand,dv_val,se,scheme,strata,survey
gov_vote,DeSantis,44.53920837812835,1.2448205316638787,CMAGR,No Stratification,FES
gov_vote,Crist,54.26127056182827,1.2476311874092256,CMAGR,No Stratification,FES
gov_vote,Roos,0.7287220254770952,0.21540167437648683,CMAGR,No Stratification,FES
gov_vote,Gimenez,0.47079903456628175,0.12967478906068833,CMAGR,No Stratification,FES
sen_vote,Rubio,42.166790688848195,1.2278314382076594,CMAGR,No Stratification,FES
sen_vote,Demings,56.27148395289518,1.2334974902922229,CMAGR,No Stratification,FES
sen_vote,Third Party,1.0783226612668102,0.2533011287973876,CMAGR,No Stratification,FES
sen_vote,Other,0.4834026969898153,0.13363493030469215,CMAGR,No Stratification,FES
house_vote,Republican,42.40568031786005,1.2422073569965861,CMAGR,No Stratification,FES
house_vote,Democrat,54.558298510071914,1.2526974224304797,CMAGR,No Stratification,FES
house_vote,Third Party,1.2582467724238247,0.2628550266980727,CMAGR,No Stratification,FES
house_vote,Other,1.777774399644208,0.3308972019209982,CMAGR,No Stratification,FES
climate,NA,1.9912426796385982,0.030552025468512024,CMAGR,No Stratification,FES
wait_time,NA,5.821559424973824,0.5135525912148332,CMAGR,No Stratification,FES
gov_vote,DeSantis,50.58903798794571,1.2174513475836806,CMAGR+Party,No Stratification,FES
gov_vote,Crist,48.198081828873114,1.213509454945458,CMAGR+Party,No Stratification,FES
gov_vote,Roos,0.7141310420556555,0.20125292145769835,CMAGR+Party,No Stratification,FES
gov_vote,Gimenez,0.4987491411255258,0.15921491793319575,CMAGR+Party,No Stratification,FES
sen_vote,Rubio,48.320105347810866,1.221106839778875,CMAGR+Party,No Stratification,FES
sen_vote,Demings,50.01113787574154,1.2172425564336007,CMAGR+Party,No Stratification,FES
sen_vote,Third Party,1.1118411613084982,0.23495039860145545,CMAGR+Party,No Stratification,FES
sen_vote,Other,0.5569156151390889,0.1347651205626897,CMAGR+Party,No Stratification,FES
house_vote,Republican,49.002604804010325,1.2313984645231133,CMAGR+Party,No Stratification,FES
house_vote,Democrat,48.14845420632766,1.2226530734320793,CMAGR+Party,No Stratification,FES
